# Dependencies for a3-modular-kalah-OverCry
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:15 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-OverCry
# Codebase	./submissions/a3-modular-kalah-OverCry/a3-modular-kalah-OverCry

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Singleton.Printer	kalah.Singleton	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	1,2,4,24,37,38,53,69,71,72	com.qualitascorpus.testsupport.IO#void print(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	3,36,39,70,73	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	5,28,40,45	java.util.List#java.lang.Object get(int) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	7,42	kalah.Interface.ITeam#public abstract java.util.List getStores() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Team	kalah	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	7,42	kalah.Team#public java.util.List getStores() {}	Private	Polymorphic
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.Collections*	java.util	Class	InvokeStatic	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	8,25	java.util.Collections#void reverse(java.util.List) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	9,54	java.util.List#java.util.Iterator iterator() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	10,55	java.util.Iterator#boolean hasNext() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	11,56	java.util.Iterator#java.lang.Object next() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	13,26,43,58	java.lang.StringBuilder#<init>() <>*	Private	None
